NCBI_Gene_ID,Ensembl_gene_ID,gene_symbol,HGNC_ID,gene_name,Status,Previous_symbols,Alias_symbols,Accession_numbers,RefSeq_IDs
29894,ENSG00000071894,CPSF1,HGNC:2324,cleavage and polyadenylation specific factor 1,Approved,NA,CPSF160,U37012,NM_013291
129099,ENSG00000214076,CPSF1P1,HGNC:19251,CPSF1 pseudogene 1,Approved,NA,dJ90G24.5,NA,NG_005204
100422285,ENSG00000220132,CPSF1P2,HGNC:54959,CPSF1 pseudogene 2,Approved,NA,NA,NA,NG_026701
53981,ENSG00000165934,CPSF2,HGNC:2325,cleavage and polyadenylation specific factor 2,Approved,NA,"KIAA1367, CPSF100",AB037788,NA
51692,ENSG00000119203,CPSF3,HGNC:2326,cleavage and polyadenylation specific factor 3,Approved,NA,"CPSF-73, CPSF73, YSH1",AF171877,NM_016207
10898,ENSG00000160917,CPSF4,HGNC:2327,cleavage and polyadenylation specific factor 4,Approved,NA,"NAR, CPSF30",NA,NA
642843,ENSG00000187959,CPSF4L,HGNC:33632,cleavage and polyadenylation specific factor 4 like,Approved,NA,NA,NA,NM_001129885
11052,ENSG00000111605,CPSF6,HGNC:13871,cleavage and polyadenylation specific factor 6,Approved,NA,"CFIM, HPBRII-4, HPBRII-7, CFIM68, CFIM72",X67336,NM_007007
79869,ENSG00000149532,CPSF7,HGNC:30098,cleavage and polyadenylation specific factor 7,Approved,NA,"FLJ12529, CFIM59",NA,NM_024811
1374,ENSG00000110090,CPT1A,HGNC:2328,carnitine palmitoyltransferase 1A,Approved,CPT1,"CPT1-L, L-CPT1",L39211,NM_001876
1375,ENSG00000205560,CPT1B,HGNC:2329,carnitine palmitoyltransferase 1B,Approved,NA,"M-CPT1, CPT1-M",U62733,NM_152246
126129,ENSG00000169169,CPT1C,HGNC:18540,carnitine palmitoyltransferase 1C,Approved,NA,"FLJ23809, CPTIC, CPT1P, CATL1",AF357970,NM_152359
1376,ENSG00000157184,CPT2,HGNC:2330,carnitine palmitoyltransferase 2,Approved,CPT1,CPTASE,BC002445,NM_000098
100420556,NA,CPT2P1,HGNC:49538,carnitine palmitoyltransferase 2 pseudogene 1,Approved,NA,NA,NA,NA
80772,ENSG00000224051,CPTP,HGNC:28116,ceramide-1-phosphate transfer protein,Approved,GLTPD1,MGC10334,BC004366,NM_001029885
54504,ENSG00000106066,CPVL,HGNC:14399,carboxypeptidase vitellogenic like,Approved,NA,NA,AF106704,NM_019029
107986703,ENSG00000229452,CPVL-AS1,HGNC:40685,CPVL antisense RNA 1,Approved,NA,NA,NA,NA
53336,ENSG00000147183,CPXCR1,HGNC:2332,CPX chromosome region candidate 1,Approved,NA,CT77,AL031116,NM_033048
56265,ENSG00000088882,CPXM1,HGNC:15771,"carboxypeptidase X, M14 family member 1",Approved,CPXM,"CPX-1, CPX1",AL035460,NM_019609
119587,ENSG00000121898,CPXM2,HGNC:26977,"carboxypeptidase X, M14 family member 2",Approved,NA,"UNQ676, CPX2",AY358565,NM_198148
8532,ENSG00000109625,CPZ,HGNC:2333,carboxypeptidase Z,Approved,NA,NA,U83411,NM_003652
1378,ENSG00000203710,CR1,HGNC:2334,complement C3b/C4b receptor 1 (Knops blood group),Approved,NA,"CD35, KN",Y00816,NM_000573
1379,ENSG00000197721,CR1L,HGNC:2335,complement C3b/C4b receptor 1 like,Approved,NA,NA,AY114160,NM_175710
1380,ENSG00000117322,CR2,HGNC:2336,complement C3d receptor 2,Approved,NA,"CD21, C3DR",M26004,NM_001877
1381,ENSG00000166426,CRABP1,HGNC:2338,cellular retinoic acid binding protein 1,Approved,RBP5,"CRABP, CRABP-I, CRABPI",NA,NM_004378
1382,ENSG00000143320,CRABP2,HGNC:2339,cellular retinoic acid binding protein 2,Approved,NA,CRABP-II,BC001109,NM_001878
57482,ENSG00000109265,CRACD,HGNC:29219,capping protein inhibiting regulator of actin dynamics,Approved,KIAA1211,CRAD,AB033037,NM_020722
343990,ENSG00000196872,CRACDL,HGNC:33454,CRACD like,Approved,"C2orf55, KIAA1211L",MGC42367,BC068277,NM_207362
84766,ENSG00000130038,CRACR2A,HGNC:28657,calcium release activated channel regulator 2A,Approved,EFCAB4B,MGC4266,BC004524,NM_032680
283229,ENSG00000177685,CRACR2B,HGNC:28703,calcium release activated channel regulator 2B,Approved,EFCAB4A,MGC45840,BC073821,NM_173584
8738,ENSG00000169372,CRADD,HGNC:2340,CASP2 and RIPK1 domain containing adaptor with death domain,Approved,NA,RAIDD,U84388,NM_003805
57585,ENSG00000007545,CRAMP1,HGNC:14122,cramped chromatin regulator homolog 1,Approved,CRAMP1L,KIAA1426,AB037847,NA
1384,ENSG00000095321,CRAT,HGNC:2342,carnitine O-acetyltransferase,Approved,NA,CAT1,X78706,NA
23418,ENSG00000134376,CRB1,HGNC:2343,crumbs cell polarity complex component 1,Approved,RP12,LCA8,NA,NM_201253
286204,ENSG00000148204,CRB2,HGNC:18688,crumbs cell polarity complex component 2,Approved,NA,"FLJ38464, FLJ16786",AK095783,NM_173689
92359,ENSG00000130545,CRB3,HGNC:20237,crumbs cell polarity complex component 3,Approved,NA,MGC17303,AF503290,NA
106480279,ENSG00000232563,CRB3P1,HGNC:49684,crumbs cell polarity complex component 3 pseudogene 1,Approved,NA,NA,NA,NA
51185,ENSG00000113851,CRBN,HGNC:30185,cereblon,Approved,MRT2A,MRT2,BC017419,NM_016302
27297,ENSG00000241258,CRCP,HGNC:17888,CGRP receptor component,Approved,NA,"CGRP-RCP, RCP, RCP9, C17, POLR3I",AF073792,NM_014478
54544,ENSG00000169509,CRCT1,HGNC:29875,cysteine rich C-terminal 1,Approved,C1orf42,NICE-1,AJ243662,NM_019060
1385,ENSG00000118260,CREB1,HGNC:2345,cAMP responsive element binding protein 1,Approved,NA,NA,M27691,NM_134442
10488,ENSG00000107175,CREB3,HGNC:2347,cAMP responsive element binding protein 3,Approved,NA,"LZIP, Luman, sLZIP",AF211848,NM_006368
90993,ENSG00000157613,CREB3L1,HGNC:18856,cAMP responsive element binding protein 3 like 1,Approved,NA,OASIS,NA,NM_052854
64764,ENSG00000182158,CREB3L2,HGNC:23720,cAMP responsive element binding protein 3 like 2,Approved,NA,"BBF2H7, TCAG_1951439",AJ549092,NM_194071
100130880,ENSG00000237243,CREB3L2-AS1,HGNC:41030,CREB3L2 antisense RNA 1,Approved,NA,NA,NA,NR_161346
84699,ENSG00000060566,CREB3L3,HGNC:18855,cAMP responsive element binding protein 3 like 3,Approved,NA,"CREB-H, CREBH",NA,NM_032607
148327,ENSG00000143578,CREB3L4,HGNC:18854,cAMP responsive element binding protein 3 like 4,Approved,NA,"AIbZIP, CREB4, CREB3, hJAL, ATCE1",AF394167,NM_130898
9586,ENSG00000146592,CREB5,HGNC:16844,cAMP responsive element binding protein 5,Approved,NA,"H_GS165L15.1, CRE-BPA",L05515,NM_004904
1387,ENSG00000005339,CREBBP,HGNC:2348,CREB binding protein,Approved,RSTS,"RTS, CBP, KAT3A",U85962,NM_004380
1389,ENSG00000111269,CREBL2,HGNC:2350,cAMP responsive element binding protein like 2,Approved,NA,NA,AF039081,NM_001310
153222,ENSG00000164463,CREBRF,HGNC:24050,CREB3 regulatory factor,Approved,C5orf41,LRF,AY139008,NM_153607
58487,ENSG00000137504,CREBZF,HGNC:24905,CREB/ATF bZIP transcription factor,Approved,NA,ZF,AF039942,NM_001039618
