NCBI_Gene_ID,Ensembl_gene_ID,gene_symbol,HGNC_ID,gene_name,Status,Previous_symbols,Alias_symbols,Accession_numbers,RefSeq_IDs
1,ENSG00000121410,A1BG,HGNC:5,alpha-1-B glycoprotein,Approved,NA,NA,NA,NM_130786
503538,ENSG00000268895,A1BG-AS1,HGNC:37133,A1BG antisense RNA 1,Approved,"NCRNA00181, A1BGAS, A1BG-AS",FLJ23569,BC040926,NR_015380
29974,ENSG00000148584,A1CF,HGNC:24086,APOBEC1 complementation factor,Approved,NA,"ACF, ASP, ACF64, ACF65, APOBEC1CF",AF271790,NM_014576
2,ENSG00000175899,A2M,HGNC:7,alpha-2-macroglobulin,Approved,NA,"FWP007, S863-7, CPAMD5","BX647329, X68728, M11313",NM_000014
144571,ENSG00000245105,A2M-AS1,HGNC:27057,A2M antisense RNA 1,Approved,NA,NA,NA,NR_026971
144568,ENSG00000166535,A2ML1,HGNC:23336,alpha-2-macroglobulin like 1,Approved,CPAMD9,"FLJ25179, p170",AK057908,NM_144670
100874108,ENSG00000256661,A2ML1-AS1,HGNC:41022,A2ML1 antisense RNA 1,Approved,NA,NA,NA,NA
106478979,ENSG00000256904,A2ML1-AS2,HGNC:41523,A2ML1 antisense RNA 2,Approved,NA,NA,NA,NA
3,ENSG00000256069,A2MP1,HGNC:8,alpha-2-macroglobulin pseudogene 1,Approved,A2MP,NA,M24415,NG_001067
127550,ENSG00000184389,A3GALT2,HGNC:30005,"alpha 1,3-galactosyltransferase 2",Approved,A3GALT2P,"IGBS3S, IGB3S",NA,NM_001080438
53947,ENSG00000128274,A4GALT,HGNC:18149,"alpha 1,4-galactosyltransferase (P blood group)",Approved,P1,"A14GALT, Gb3S, P(k)",NA,NM_017436
51146,ENSG00000118017,A4GNT,HGNC:17968,"alpha-1,4-N-acetylglucosaminyltransferase",Approved,NA,alpha4GnT,AF141315,NM_016161
8086,ENSG00000094914,AAAS,HGNC:13666,aladin WD repeat nucleoporin,Approved,NA,NA,AJ289841,NA
65985,ENSG00000081760,AACS,HGNC:21298,acetoacetyl-CoA synthetase,Approved,NA,"FLJ12389, SUR-5, ACSF1",AK022451,NM_023928
729522,ENSG00000250420,AACSP1,HGNC:18226,acetoacetyl-CoA synthetase pseudogene 1,Approved,AACSL,NA,NA,NR_024035
13,ENSG00000114771,AADAC,HGNC:17,arylacetamide deacetylase,Approved,NA,"DAC, CES5A1",L32179,NM_001086
344752,ENSG00000197953,AADACL2,HGNC:24427,arylacetamide deacetylase like 2,Approved,NA,MGC72001,BC065724,NM_207365
101928142,ENSG00000242908,AADACL2-AS1,HGNC:50301,AADACL2 antisense RNA 1,Approved,NA,NA,NA,NA
126767,ENSG00000188984,AADACL3,HGNC:32037,arylacetamide deacetylase like 3,Approved,NA,OTTHUMG00000001887,NA,NM_001103170
343066,ENSG00000204518,AADACL4,HGNC:32038,arylacetamide deacetylase like 4,Approved,NA,OTTHUMG00000001889,NA,NM_001013630
201651,ENSG00000240602,AADACP1,HGNC:50305,arylacetamide deacetylase pseudogene 1,Approved,NA,NA,NA,NA
51166,ENSG00000109576,AADAT,HGNC:17929,aminoadipate aminotransferase,Approved,NA,"KATII, KAT2, KYAT2",AF097994,NM_016228
79719,ENSG00000103591,AAGAB,HGNC:25662,alpha and gamma adaptin binding protein,Approved,NA,"FLJ11506, p34",AL136715,NM_024666
22848,ENSG00000115977,AAK1,HGNC:19679,AP2 associated kinase 1,Approved,NA,"KIAA1048, DKFZp686K16132",AB028971,NM_014911
28971,ENSG00000087884,AAMDC,HGNC:30205,adipogenesis associated Mth938 domain containing,Approved,C11orf67,"PTD015, FLJ21035, CK067",BC016854,NM_024684
14,ENSG00000127837,AAMP,HGNC:18,angio associated migratory cell protein,Approved,NA,NA,AB209790,NM_001087
15,ENSG00000129673,AANAT,HGNC:19,aralkylamine N-acetyltransferase,Approved,NA,SNAT,U40347,NM_001088
25980,ENSG00000131043,AAR2,HGNC:15886,AAR2 splicing factor,Approved,C20orf4,bA234K24.2,NA,NM_015511
441376,ENSG00000205002,AARD,HGNC:33842,alanine and arginine rich domain containing protein,Approved,C8orf85,LOC441376,"AB181519, BC140924",NM_001025357
16,ENSG00000090861,AARS1,HGNC:20,alanyl-tRNA synthetase 1,Approved,AARS,"CMT2N, AlaRS",D32050,NM_001605
106480683,ENSG00000249038,AARS1P1,HGNC:49894,alanyl-tRNA synthetase 1 pseudogene 1,Approved,AARSP1,NA,NA,NA
57505,ENSG00000124608,AARS2,HGNC:21022,"alanyl-tRNA synthetase 2, mitochondrial",Approved,AARSL,"KIAA1270, bA444E17.1",AB033096,NM_020745
80755,ENSG00000266967,AARSD1,HGNC:28417,alanyl-tRNA synthetase domain containing 1,Approved,NA,MGC2744,BC004172,NM_001261434
117981788,ENSG00000234969,AARSD1P1,HGNC:54994,AARSD1 pseudogene 1,Approved,NA,NA,NA,NA
132949,ENSG00000157426,AASDH,HGNC:23993,aminoadipate-semialdehyde dehydrogenase,Approved,NA,"NRPS998, LYS2, ACSF4",AF516672,NM_181806
60496,ENSG00000149313,AASDHPPT,HGNC:14235,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Approved,NA,"LYS5, CGI-80, AASD-PPT, ACPS",AF302110,NM_015423
10157,ENSG00000008311,AASS,HGNC:17366,aminoadipate-semialdehyde synthase,Approved,NA,"LORSDH, LKRSDH",AF229180,NM_005763
284837,ENSG00000215458,AATBC,HGNC:51526,apoptosis associated transcript in bladder cancer,Approved,NA,NA,NA,NR_026961
26574,ENSG00000275700,AATF,HGNC:19235,apoptosis antagonizing transcription factor,Approved,NA,"DED, CHE-1, CHE1, BFR2",AF083208,NM_012138
9625,ENSG00000181409,AATK,HGNC:21,apoptosis associated tyrosine kinase,Approved,NA,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",AB014541,NM_004920
17,NA,AAVS1,HGNC:22,adeno-associated virus integration site 1,Approved,NA,AAV,S51329,NA
103021294,ENSG00000281376,ABALON,HGNC:49667,apoptotic BCL2L1-antisense long non-coding RNA,Approved,NA,INXS,KC505631,NR_131907
18,ENSG00000183044,ABAT,HGNC:23,4-aminobutyrate aminotransferase,Approved,NA,"GABAT, GABA-T",L32961,NM_020686
19,ENSG00000165029,ABCA1,HGNC:29,ATP binding cassette subfamily A member 1,Approved,"ABC1, HDLDT1",TGD,AJ012376,NM_005502
20,ENSG00000107331,ABCA2,HGNC:32,ATP binding cassette subfamily A member 2,Approved,ABC2,NA,U18235,NM_001606
21,ENSG00000167972,ABCA3,HGNC:33,ATP binding cassette subfamily A member 3,Approved,ABC3,"ABC-C, EST111653, LBM180",U78735,NM_001089
24,ENSG00000198691,ABCA4,HGNC:34,ATP binding cassette subfamily A member 4,Approved,"STGD1, ABCR, RP19, STGD","FFM, ARMD2, CORD3",U88667,NM_000350
23461,ENSG00000154265,ABCA5,HGNC:35,ATP binding cassette subfamily A member 5,Approved,NA,EST90625,U66672,NM_018672
23460,ENSG00000154262,ABCA6,HGNC:36,ATP binding cassette subfamily A member 6,Approved,NA,EST155051,U66680,NM_080284
10347,ENSG00000064687,ABCA7,HGNC:37,ATP binding cassette subfamily A member 7,Approved,NA,ABCX,AF328787,NM_019112
10351,ENSG00000141338,ABCA8,HGNC:38,ATP binding cassette subfamily A member 8,Approved,NA,KIAA0822,AB020629,NM_007168
10350,ENSG00000154258,ABCA9,HGNC:39,ATP binding cassette subfamily A member 9,Approved,NA,EST640918,AF423307,NM_172386
104355297,ENSG00000231749,ABCA9-AS1,HGNC:39983,ABCA9 antisense RNA 1,Approved,NA,NA,NA,NA
10349,ENSG00000154263,ABCA10,HGNC:30,ATP binding cassette subfamily A member 10,Approved,NA,EST698739,AY247065,NM_080282
79963,ENSG00000251595,ABCA11P,HGNC:31,"ATP binding cassette subfamily A member 11, pseudogene",Approved,ABCA11,"EST1133530, FLJ14297",AK024359,NR_002451.2
26154,ENSG00000144452,ABCA12,HGNC:14637,ATP binding cassette subfamily A member 12,Approved,ICR2B,"DKFZP434G232, LI2",AF418105,NM_173076
154664,ENSG00000179869,ABCA13,HGNC:14638,ATP binding cassette subfamily A member 13,Approved,NA,"FLJ33876, FLJ33951",AY204751,NM_152701
650655,ENSG00000238098,ABCA17P,HGNC:32972,"ATP binding cassette subfamily A member 17, pseudogene",Approved,NA,NA,DQ266102,NR_003574
5243,ENSG00000085563,ABCB1,HGNC:40,ATP binding cassette subfamily B member 1,Approved,"PGY1, MDR1, CLCS","P-gp, CD243, GP170, ABC20",M14758,NM_000927
5244,ENSG00000005471,ABCB4,HGNC:45,ATP binding cassette subfamily B member 4,Approved,"PGY3, MDR3","MDR2, PFIC-3, GBD1",M23234,NM_000443
340273,ENSG00000004846,ABCB5,HGNC:46,ATP binding cassette subfamily B member 5,Approved,NA,"EST422562, ABCB5beta, ABCB5alpha",U66692,NM_178559
10058,ENSG00000115657,ABCB6,HGNC:47,ATP binding cassette subfamily B member 6 (Langereis blood group),Approved,NA,"EST45597, umat, MTABC3",AF070598,NM_005689
22,ENSG00000131269,ABCB7,HGNC:48,ATP binding cassette subfamily B member 7,Approved,ABC7,"EST140535, Atm1p, ASAT",AF038950,NM_004299
11194,ENSG00000197150,ABCB8,HGNC:49,ATP binding cassette subfamily B member 8,Approved,NA,"EST328128, M-ABC1, MABC1, MITOSUR",AF047690,NM_007188
23457,ENSG00000150967,ABCB9,HGNC:50,ATP binding cassette subfamily B member 9,Approved,NA,EST122234,U66676,NM_019624
23456,ENSG00000135776,ABCB10,HGNC:41,ATP binding cassette subfamily B member 10,Approved,NA,"EST20237, M-ABC2, MTABC2",U18237,NM_012089
56476,ENSG00000274099,ABCB10P1,HGNC:14114,ABCB10 pseudogene 1,Approved,"ABCB10P, ABCB10P2","M-ABC2, MABC2",AF218417,NG_005041
728248,ENSG00000261524,ABCB10P3,HGNC:31129,ABCB10 pseudogene 3,Approved,NA,NA,NA,NG_022122
100132289,ENSG00000260053,ABCB10P4,HGNC:31130,ABCB10 pseudogene 4,Approved,NA,NA,NA,NG_022102
8647,ENSG00000073734,ABCB11,HGNC:42,ATP binding cassette subfamily B member 11,Approved,"BSEP, PFIC2","ABC16, SPGP, PFIC-2, PGY4",AF091582,NM_003742
4363,ENSG00000103222,ABCC1,HGNC:51,ATP binding cassette subfamily C member 1,Approved,"MRP, MRP1",GS-X,L05628,NM_004996
1244,ENSG00000023839,ABCC2,HGNC:53,ATP binding cassette subfamily C member 2,Approved,CMOAT,"DJS, MRP2, cMRP",U63970,NM_000392
8714,ENSG00000108846,ABCC3,HGNC:54,ATP binding cassette subfamily C member 3,Approved,NA,"MRP3, cMOAT2, EST90757, MLP2, MOAT-D",Y17151,NM_020038
10257,ENSG00000125257,ABCC4,HGNC:55,ATP binding cassette subfamily C member 4,Approved,NA,"MRP4, EST170205, MOAT-B, MOATB",U66682,NM_005845
10057,ENSG00000114770,ABCC5,HGNC:56,ATP binding cassette subfamily C member 5,Approved,NA,"MRP5, SMRP, EST277145, MOAT-C",AF104942,NM_005688
100873982,ENSG00000223882,ABCC5-AS1,HGNC:40055,ABCC5 antisense RNA 1,Approved,NA,NA,NA,NA
368,ENSG00000091262,ABCC6,HGNC:57,ATP binding cassette subfamily C member 6,Approved,"ARA, PXE","MRP6, EST349056, MLP1, URG7",AF076622,NA
653190,ENSG00000256340,ABCC6P1,HGNC:33352,ATP binding cassette subfamily C member 6 pseudogene 1,Approved,NA,NA,BC075833,NR_003569
730013,ENSG00000255277,ABCC6P2,HGNC:33353,ATP binding cassette subfamily C member 6 pseudogene 2,Approved,NA,NA,NA,NR_023387
6833,ENSG00000006071,ABCC8,HGNC:59,ATP binding cassette subfamily C member 8,Approved,"SUR, HRINS","HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2",L78207,NM_000352
10060,ENSG00000069431,ABCC9,HGNC:60,ATP binding cassette subfamily C member 9,Approved,NA,"SUR2, CMD1O",AF061323,NM_005691
89845,ENSG00000124574,ABCC10,HGNC:52,ATP binding cassette subfamily C member 10,Approved,NA,"EST182763, MRP7, SIMRP7",U66684,NM_033450
85320,ENSG00000121270,ABCC11,HGNC:14639,ATP binding cassette subfamily C member 11,Approved,NA,MRP8,AF367202,NM_032583
94160,ENSG00000140798,ABCC12,HGNC:14640,ATP binding cassette subfamily C member 12,Approved,NA,MRP9,AY040220,NM_033226
150000,ENSG00000243064,ABCC13,HGNC:16022,ATP binding cassette subfamily C member 13 (pseudogene),Approved,NA,"PRED6, C21orf73, ABCC13P",AF418600,NA
215,ENSG00000101986,ABCD1,HGNC:61,ATP binding cassette subfamily D member 1,Approved,ALD,"AMN, ALDP, adrenoleukodystrophy",Z21876,NM_000033
23785,NA,ABCD1P1,HGNC:62,ATP binding cassette subfamily D member 1 pseudogene 1,Approved,NA,NA,U90290,NA
26983,ENSG00000215151,ABCD1P2,HGNC:63,ATP binding cassette subfamily D member 1 pseudogene 2,Approved,NA,bA453N3.6,U90288,NA
26982,ENSG00000261233,ABCD1P3,HGNC:64,ATP binding cassette subfamily D member 1 pseudogene 3,Approved,NA,NA,U90289,NA
26957,ENSG00000225293,ABCD1P4,HGNC:65,ATP binding cassette subfamily D member 1 pseudogene 4,Approved,NA,NA,U90291,NA
642762,ENSG00000214330,ABCD1P5,HGNC:42662,ATP binding cassette subfamily D member 1 pseudogene 5,Approved,NA,NA,NA,NA
225,ENSG00000173208,ABCD2,HGNC:66,ATP binding cassette subfamily D member 2,Approved,ALDL1,"ALDR, ALDRP",U28150,NM_005164
5825,ENSG00000117528,ABCD3,HGNC:67,ATP binding cassette subfamily D member 3,Approved,PXMP1,"PMP70, ZWS2",M81182,NM_002858
5826,ENSG00000119688,ABCD4,HGNC:68,ATP binding cassette subfamily D member 4,Approved,PXMP1L,"PMP69, P70R, EST352188",AF009746,NM_005050
6059,ENSG00000164163,ABCE1,HGNC:69,ATP binding cassette subfamily E member 1,Approved,"RNASEL1, RNASELI, RNS4I","RLI, OABP, RLI1",X74987,NM_002940
23,ENSG00000204574,ABCF1,HGNC:70,ATP binding cassette subfamily F member 1,Approved,ABC50,EST123147,AF027302,NA
107986587,NA,ABCF1-DT,HGNC:53628,ABCF1 divergent transcript,Approved,NA,NA,NA,NA
10061,ENSG00000033050,ABCF2,HGNC:71,ATP binding cassette subfamily F member 2,Approved,NA,"EST133090, ABC28, M-ABC1, HUSSY-18",AJ005016,NM_005692
114483834,ENSG00000285292,ABCF2-H2BE1,HGNC:54751,ABCF2-H2BE1 readthrough,Approved,NA,NA,NA,NA
344653,ENSG00000242159,ABCF2P1,HGNC:48841,ATP binding cassette subfamily F member 2 pseudogene 1,Approved,NA,NA,NA,NA
100422059,ENSG00000228769,ABCF2P2,HGNC:48842,ATP binding cassette subfamily F member 2 pseudogene 2,Approved,NA,NA,NA,NA
55324,ENSG00000161204,ABCF3,HGNC:72,ATP binding cassette subfamily F member 3,Approved,NA,EST201864,U66685,NM_018358
9619,ENSG00000160179,ABCG1,HGNC:73,ATP binding cassette subfamily G member 1,Approved,NA,ABC8,U34919,NM_207174
9429,ENSG00000118777,ABCG2,HGNC:74,ATP binding cassette subfamily G member 2 (Junior blood group),Approved,NA,"EST157481, MXR, BCRP, ABCP, CD338",AF103796,NM_004827
64137,ENSG00000172350,ABCG4,HGNC:13884,ATP binding cassette subfamily G member 4,Approved,NA,WHITE2,AJ300465,NM_022169
64240,ENSG00000138075,ABCG5,HGNC:13886,ATP binding cassette subfamily G member 5,Approved,NA,STSL,T93792,NM_022436
64241,ENSG00000143921,ABCG8,HGNC:13887,ATP binding cassette subfamily G member 8,Approved,NA,GBD4,AF320294,NM_022437
84696,ENSG00000143994,ABHD1,HGNC:17553,abhydrolase domain containing 1,Approved,NA,"LABH1, FLJ36128",AK093447,NM_032604
11057,ENSG00000140526,ABHD2,HGNC:18717,"abhydrolase domain containing 2, acylglycerol lipase",Approved,NA,LABH2,X12433,NA
171586,ENSG00000158201,ABHD3,HGNC:18718,"abhydrolase domain containing 3, phospholipase",Approved,NA,LABH3,AK024880,NA
63874,ENSG00000100439,ABHD4,HGNC:20154,"abhydrolase domain containing 4, N-acyl phospholipase B",Approved,NA,FLJ12816,AK022878,NA
51099,ENSG00000011198,ABHD5,HGNC:21396,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",Approved,NA,"CGI-58, NCIE2",AF007132,NM_016006
57406,ENSG00000163686,ABHD6,HGNC:21398,"abhydrolase domain containing 6, acylglycerol lipase",Approved,NA,NA,AF225418,NM_020676
79575,ENSG00000127220,ABHD8,HGNC:23759,abhydrolase domain containing 8,Approved,NA,"FLJ11743, MGC14280, MGC2512",AK021805,NM_024527
55347,ENSG00000144827,ABHD10,HGNC:25656,"abhydrolase domain containing 10, depalmitoylase",Approved,NA,FLJ11342,AL713726,NM_018394
83451,ENSG00000106077,ABHD11,HGNC:16407,abhydrolase domain containing 11,Approved,WBSCR21,PP1226,AF217971,NA
171022,ENSG00000225969,ABHD11-AS1,HGNC:18289,ABHD11 antisense RNA 1 (tail to tail),Approved,"WBSCR26, LINC00035",NCRNA00035,BU595969,NR_026690
26090,ENSG00000100997,ABHD12,HGNC:15868,"abhydrolase domain containing 12, lysophospholipase",Approved,C20orf22,"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A",AL117442,NM_015600
145447,ENSG00000131969,ABHD12B,HGNC:19837,abhydrolase domain containing 12B,Approved,C14orf29,BEM46L3,BG698443,NA
84945,ENSG00000139826,ABHD13,HGNC:20293,abhydrolase domain containing 13,Approved,C13orf6,"bA153I24.2, FLJ14906, BEM46L1",AK027812,NM_032859
25864,ENSG00000248487,ABHD14A,HGNC:24538,abhydrolase domain containing 14A,Approved,NA,"DKFZP564O243, DORZ1",AY358201,NM_015407
100526760,ENSG00000114786,ABHD14A-ACY1,HGNC:38856,ABHD14A-ACY1 readthrough,Approved,NA,NA,NA,NA
84836,ENSG00000114779,ABHD14B,HGNC:28235,abhydrolase domain containing 14B,Approved,NA,"MGC15429, CIB",AK075112,NM_032750
116236,ENSG00000168792,ABHD15,HGNC:26971,abhydrolase domain containing 15,Approved,NA,NA,AK056717,NM_198147
104355133,ENSG00000264031,ABHD15-AS1,HGNC:49685,ABHD15 antisense RNA 1,Approved,NA,"linc-TP53I13, lnc-TP53I13",CN275323,NA
7920,ENSG00000204427,ABHD16A,HGNC:13921,"abhydrolase domain containing 16A, phospholipase",Approved,BAT5,"NG26, D6S82E",AF129756,NA
140701,ENSG00000183260,ABHD16B,HGNC:16128,abhydrolase domain containing 16B,Approved,C20orf135,dJ591C20.1,NA,NA
81926,ENSG00000129968,ABHD17A,HGNC:28756,"abhydrolase domain containing 17A, depalmitoylase",Approved,"C19orf27, FAM108A1",MGC5244,BC020512,NM_031213
728917,ENSG00000198658,ABHD17AP1,HGNC:28394,ABHD17A pseudogene 1,Approved,"FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P",C1orf47,NA,NG_011738
648359,ENSG00000250536,ABHD17AP3,HGNC:34041,ABHD17A pseudogene 3,Approved,"FAM108A4, FAM108A4P",NA,NA,XR_041784
729495,ENSG00000229107,ABHD17AP4,HGNC:34042,ABHD17A pseudogene 4,Approved,"FAM108A5, FAM108A5P",NA,NA,NA
91219,ENSG00000263366,ABHD17AP5,HGNC:34043,ABHD17A pseudogene 5,Approved,"FAM108A6, FAM108A6P",NA,NA,NA
644988,ENSG00000226981,ABHD17AP6,HGNC:34044,ABHD17A pseudogene 6,Approved,FAM108A7P,NA,NA,NA
100133212,ENSG00000260864,ABHD17AP7,HGNC:38508,ABHD17A pseudogene 7,Approved,FAM108A8P,NA,NA,NA
647144,ENSG00000260540,ABHD17AP8,HGNC:38509,ABHD17A pseudogene 8,Approved,FAM108A9P,NA,NA,NA
100132251,ENSG00000261536,ABHD17AP9,HGNC:38510,ABHD17A pseudogene 9,Approved,FAM108A10P,NA,NA,NA
51104,ENSG00000107362,ABHD17B,HGNC:24278,"abhydrolase domain containing 17B, depalmitoylase",Approved,"C9orf77, FAM108B1",CGI-67,AF151825,NM_016014
58489,ENSG00000136379,ABHD17C,HGNC:26925,"abhydrolase domain containing 17C, depalmitoylase",Approved,FAM108C1,NA,NA,NM_021214
80167,ENSG00000164074,ABHD18,HGNC:26111,abhydrolase domain containing 18,Approved,C4orf29,FLJ21106,AK024759,NM_001039717
10006,ENSG00000136754,ABI1,HGNC:11320,abl interactor 1,Approved,SSH3BP1,"E3B1, ABI-1",U87166,NM_005470
326268,ENSG00000271484,ABI1P1,HGNC:20035,abl interactor 1 pseudogene 1,Approved,"SSH3BP1P, ABI1P",NA,NA,NG_002531
10152,ENSG00000138443,ABI2,HGNC:24011,abl interactor 2,Approved,NA,"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2",AF260261,NM_005759
51225,ENSG00000108798,ABI3,HGNC:29859,ABI family member 3,Approved,NA,"NESH, SSH3BP3",AB037886,NM_016428
25890,ENSG00000154175,ABI3BP,HGNC:17265,ABI family member 3 binding protein,Approved,NA,"NESHBP, DKFZP586L2024, TARSH",AB056106,NA
54942,ENSG00000119328,ABITRAM,HGNC:1364,actin binding transcription modulator,Approved,"C9orf6, FAM206A","CG-8, FLJ20457, Simiate",BC015795,NM_017832
390403,ENSG00000251106,ABITRAMP1,HGNC:39851,ABITRAM pseudogene 1,Approved,FAM206BP,NA,NA,NG_011392
25,ENSG00000097007,ABL1,HGNC:76,"ABL proto-oncogene 1, non-receptor tyrosine kinase",Approved,ABL,"JTK7, c-ABL, p150",M14752,NM_007313
27,ENSG00000143322,ABL2,HGNC:77,"ABL proto-oncogene 2, non-receptor tyrosine kinase",Approved,ABLL,ARG,M14904,NM_005158
3983,ENSG00000099204,ABLIM1,HGNC:78,actin binding LIM protein 1,Approved,"LIMAB1, ABLIM","abLIM, limatin",AF005654,NA
84448,ENSG00000163995,ABLIM2,HGNC:19195,actin binding LIM protein family member 2,Approved,NA,KIAA1808,AB058711,NM_001130083
22885,ENSG00000173210,ABLIM3,HGNC:29132,actin binding LIM protein family member 3,Approved,NA,KIAA0843,AB020650,NM_014945
28,ENSG00000175164,ABO,HGNC:79,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",Approved,NA,"A3GALNT, A3GALT1",AF134415,NM_020469
29,ENSG00000159842,ABR,HGNC:81,ABR activator of RhoGEF and GTPase,Approved,NA,MDB,L19704,NA
137735,ENSG00000174429,ABRA,HGNC:30655,actin binding Rho activating protein,Approved,NA,STARS,AF503617,NM_139166
58527,ENSG00000146386,ABRACL,HGNC:21230,ABRA C-terminal like,Approved,C6orf115,"PRO2013, HSPC280, Costars",BC014953,NM_021243
84142,ENSG00000163322,ABRAXAS1,HGNC:25829,"abraxas 1, BRCA1 A complex subunit",Approved,"CCDC98, FAM175A","FLJ13614, ABRA1, ABRAXAS",AK023676,NM_139076
23172,ENSG00000165660,ABRAXAS2,HGNC:28975,"abraxas 2, BRISC complex subunit",Approved,"KIAA0157, FAM175B","Em:AC068896.4, ABRO1",D63877,NM_032182
29777,ENSG00000146109,ABT1,HGNC:17369,activator of basal transcription 1,Approved,NA,Esf2,AB027258,NA
100420695,ENSG00000250496,ABT1P1,HGNC:39557,activator of basal transcription 1 pseudogene 1,Approved,NA,NA,NA,NG_025142
80325,ENSG00000114626,ABTB1,HGNC:18275,ankyrin repeat and BTB domain containing 1,Approved,NA,"BPOZ, EF1ABP, Btb3, BTBD21",AB053324,NM_172027
25841,ENSG00000166016,ABTB2,HGNC:23842,ankyrin repeat and BTB domain containing 2,Approved,NA,"DKFZP586C1619, BTBD22, ABTB2A",AK056863,NM_145804
30,ENSG00000060971,ACAA1,HGNC:82,acetyl-CoA acyltransferase 1,Approved,NA,NA,X14813,NM_001607
10449,ENSG00000167315,ACAA2,HGNC:83,acetyl-CoA acyltransferase 2,Approved,NA,DSAEC,D16294,NM_006111
31,ENSG00000278540,ACACA,HGNC:84,acetyl-CoA carboxylase alpha,Approved,"ACAC, ACC",ACC1,U19822,NM_198836
32,ENSG00000076555,ACACB,HGNC:85,acetyl-CoA carboxylase beta,Approved,NA,"HACC275, ACC2, ACCB",U89344,NM_001093
27034,ENSG00000151498,ACAD8,HGNC:87,acyl-CoA dehydrogenase family member 8,Approved,NA,NA,AF126245,NM_014384
28976,ENSG00000177646,ACAD9,HGNC:21497,acyl-CoA dehydrogenase family member 9,Approved,NA,"NPD002, MGC14452",AF078854,NM_014049
80724,ENSG00000111271,ACAD10,HGNC:21597,acyl-CoA dehydrogenase family member 10,Approved,NA,MGC5601,AY323912,NM_025247
84129,ENSG00000240303,ACAD11,HGNC:30211,acyl-CoA dehydrogenase family member 11,Approved,NA,FLJ12592,BC019607,NM_032169
33,ENSG00000115361,ACADL,HGNC:88,acyl-CoA dehydrogenase long chain,Approved,NA,"LCAD, ACAD4",M74096,NM_001608
34,ENSG00000117054,ACADM,HGNC:89,acyl-CoA dehydrogenase medium chain,Approved,NA,"MCAD, MCADH, ACAD1",M16827,NA
35,ENSG00000122971,ACADS,HGNC:90,acyl-CoA dehydrogenase short chain,Approved,NA,"SCAD, ACAD3",M26393,NM_000017
36,ENSG00000196177,ACADSB,HGNC:91,acyl-CoA dehydrogenase short/branched chain,Approved,NA,"SBCAD, ACAD7",U12778,NM_001609
37,ENSG00000072778,ACADVL,HGNC:92,acyl-CoA dehydrogenase very long chain,Approved,NA,"VLCAD, LCACD, ACAD6",BC012912,NM_000018
176,ENSG00000157766,ACAN,HGNC:319,aggrecan,Approved,"MSK16, CSPG1, AGC1",CSPGCP,M55172,NM_001135
9744,ENSG00000072818,ACAP1,HGNC:16467,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",Approved,CENTB1,KIAA0050,D30758,NM_014716
23527,ENSG00000114331,ACAP2,HGNC:16469,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",Approved,CENTB2,"KIAA0041, CNT-B2",NA,NM_012287
100874306,ENSG00000229325,ACAP2-IT1,HGNC:41426,ACAP2 intronic transcript 1,Approved,NA,NA,NA,NA
116983,ENSG00000131584,ACAP3,HGNC:16754,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Approved,CENTB5,KIAA1716,AF411981,NM_030649
38,ENSG00000075239,ACAT1,HGNC:93,acetyl-CoA acetyltransferase 1,Approved,ACAT,THIL,D90228,NM_000019
39,ENSG00000120437,ACAT2,HGNC:94,acetyl-CoA acetyltransferase 2,Approved,NA,NA,AF356877,NM_005891
64746,ENSG00000182827,ACBD3,HGNC:15453,acyl-CoA binding domain containing 3,Approved,"GOLPH1, GOCAP1","GCP60, PAP7",AB043587,NM_022735
107985353,ENSG00000234478,ACBD3-AS1,HGNC:40701,ACBD3 antisense RNA 1,Approved,NA,RP11-275I14.4,AW511419,NR_146443
79777,ENSG00000181513,ACBD4,HGNC:23337,acyl-CoA binding domain containing 4,Approved,NA,FLJ13322,BC029164,NM_024722
91452,ENSG00000107897,ACBD5,HGNC:23338,acyl-CoA binding domain containing 5,Approved,NA,"DKFZp434A2417, KIAA1996",AF505653,NM_145698
84320,ENSG00000230124,ACBD6,HGNC:23339,acyl-CoA binding domain containing 6,Approved,NA,MGC2404,BC006505,NM_032360
414149,ENSG00000176244,ACBD7,HGNC:17715,acyl-CoA binding domain containing 7,Approved,NA,"FLJ38219, bA455B2.2",AK095538,NA
84680,ENSG00000110455,ACCS,HGNC:23989,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),Approved,NA,"PHACS, ACS",AY026508,NM_032592
390110,ENSG00000205126,ACCSL,HGNC:34391,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,Approved,NA,NA,NA,NM_001031854
