group,Morphology,ProliferationRate,EMT_score,classification,MigrationSpeed,Subtype,Cellosaurus_RRID,Cellosaurus_Cell_line_name
MDA-MB-468,Round,1.46,-2.27,TNBC,8.91152175,BasalA,CVCL_0419,MDA-MB-468
MPE600,Unknown,0.73,-3.6,NonTNBC,5.888881667,Luminal,CVCL_9875,600MPE
OCUB-F,Suspension,,-2.44,NonTNBC,,Luminal,CVCL_3352,OCUB-F
OCUB-M,Round,,,NonTNBC,11.74715667,Luminal,CVCL_1621,OCUB-M
SK-BR-3,Epithelial-like,1.17,-4.01,NonTNBC,4.19696675,Luminal,CVCL_0033,SK-BR-3
SK-BR-5,Unknown,,-3.92,NonTNBC,,Luminal,CVCL_5217,SK-BR-5
SK-BR-7,Mesenchymal-like,,7.41,TNBC,13.33572967,BasalB,CVCL_5218,SK-BR-7
SUM102PT,Mesenchymal-like,0.58,10.14,TNBC,5.6832195,BasalB,CVCL_3421,SUM102PT
SUM1315MO2,Mesenchymal-like,0.58,9.21,TNBC,10.30062033,BasalB,CVCL_5589,SUM1315MO2
SUM149PT,Mesenchymal-like,1.94,1.38,TNBC,16.96056,BasalB,CVCL_3422,SUM149PT
SUM159PT,Mesenchymal-like,2.92,9.74,TNBC,19.86324,BasalB,CVCL_5423,SUM159PT
SUM185PE,Epithelial-like,0.73,-3.78,TNBC,6.653329833,BasalA,CVCL_5591,SUM185PE
SUM190PT,Epithelial-like,0.73,-2.67,NonTNBC,10.58567267,BasalA,CVCL_3423,SUM190PT
SUM229PE,Mesenchymal-like,0.58,-0.96,TNBC,11.28821425,BasalA,CVCL_5594,SUM229PE
SUM44PE,Round,0.73,-1.88,NonTNBC,5.809404833,Luminal,CVCL_3424,SUM44PE
SUM52PE,Epithelial-like,0.97,-2.93,NonTNBC,6.602306,Luminal,CVCL_3425,SUM52PE
T47D,Epithelial-like,1.17,-2.73,NonTNBC,6.494450833,Luminal,CVCL_0553,T-47D
UACC812,Epithelial-like,1.37,,NonTNBC,7.005784667,Luminal,CVCL_1781,UACC-812
UACC893,Epithelial-like,0.49,-3.27,NonTNBC,6.200481167,Luminal,CVCL_1782,UACC-893
ZR75-1,Epithelial-like,1.17,-3.34,NonTNBC,7.336493667,Luminal,CVCL_0588,ZR-75-1
ZR75-30,Epithelial-like,0.29,-3.9,NonTNBC,,Luminal,CVCL_1661,ZR-75-30
